profile,estimate,std.error,statistic,p.value,conf.low,conf.high
1,2.79,0.17396040121025944,5.8924084587012,0,1.99,3.93
3,20.25,0.25527363115438756,11.784425268264371,0,12.42,33.85
4,6.95,0.21749971410805882,8.91272709506589,0,4.54,10.67
5,1.18,0.1797118688688299,0.9317995686373961,0.351,0.83,1.68
