term,estimate,std.error,statistic,p.value,conf.low,conf.high,model
age,0.982,0.013129229795733614,-1.3865168943146549,0.1656,0.957,1.007,M1
sexWoman,1.148,0.19106751084817022,0.723065633564702,0.4696,0.791,1.676,M1
srh,1.052,0.09790642693934883,0.517929112920573,0.6045,0.869,1.276,M1
age,0.984,0.013458420959245742,-1.19077850609281,0.2337,0.958,1.01,M2
sexWoman,1.038,0.1950097689562156,0.19233265652801393,0.8475,0.709,1.526,M2
srh,1.076,0.10075381715669687,0.7251264058177537,0.4684,0.884,1.313,M2
housing_suitability,1.952,0.2617845400151779,2.555335858599321,0.0106,1.203,3.37,M2
home_satisfaction,0.507,0.13428206204469706,-5.061108797870871,0,0.39,0.662,M2
neighbourhood_cohesion,0.798,0.19157454778483995,-1.1754768670778266,0.2398,0.548,1.162,M2
age,0.984,0.013496250453006238,-1.1988213517723867,0.2306,0.958,1.01,M3
sexWoman,0.996,0.19656150312885706,-0.019202564779092966,0.9847,0.679,1.469,M3
srh,1.092,0.10016661195938367,0.8826864484527593,0.3774,0.898,1.331,M3
housing_suitability,2.132,0.2643906640892444,2.8628911430638353,0.0042,1.305,3.693,M3
home_satisfaction,0.5,0.1348978631635305,-5.132853596258491,0,0.385,0.654,M3
neighbourhood_cohesion,0.832,0.19212615237938546,-0.9595109130195144,0.3373,0.57,1.212,M3
ownerRenter,1.909,0.23827271880047501,2.7130547777258474,0.0067,1.181,3.013,M3
