term,estimate,std.error,statistic,p.value,conf.low,conf.high,concordance,model
age,0.98,0.007139052007431716,-2.8393574919320823,0.0045,0.966,0.994,0.58,Cox_stratified
sexWoman,1.112,0.10498845950972827,1.0146088693380892,0.3103,0.906,1.367,0.58,Cox_stratified
srh,1.094,0.05299997811119444,1.6904511146299714,0.0909,0.986,1.213,0.58,Cox_stratified
housing_suitability,1.278,0.09959752106035831,2.4610878245514765,0.0139,1.051,1.553,0.58,Cox_stratified
home_satisfaction,0.847,0.06077029005326652,-2.7391401067414236,0.0062,0.752,0.954,0.58,Cox_stratified
neighbourhood_cohesion,1.04,0.10797508181957724,0.3663413891093359,0.7141,0.842,1.286,0.58,Cox_stratified
