term,estimate,std.error,statistic,p.value,conf.low,conf.high,concordance,model
"intention_4cat2+ years, intends",1.989,0.17851959474255524,3.851942901080982,1e-4,1.402,2.822,0.772,Cox_M2
intention_4cat1–2 years,3.79,0.14874994694979285,8.956408984192056,0,2.831,5.072,0.772,Cox_M2
intention_4cat< 1 year,17.416,0.13738799046540945,20.797829139169124,0,13.304,22.797,0.772,Cox_M2
age,0.98,0.006921154645207381,-2.8533751477693294,0.0043,0.967,0.994,0.772,Cox_M2
sexWoman,1.101,0.10358586324220503,0.9263251559545915,0.3543,0.898,1.348,0.772,Cox_M2
srh,1.104,0.05076944609950193,1.9571036569727527,0.0503,1,1.22,0.772,Cox_M2
