term,estimate,std.error,statistic,p.value,conf.low,conf.high,model
"intention_4cat2+ years, intends",2.076,0.1962718198160663,3.722757722999014,2e-4,1.406,3.04,M2
intention_4cat1–2 years,4.449,0.1676630251957119,8.902346585066272,0,3.208,6.193,M2
intention_4cat< 1 year,27.006,0.1915624996683068,17.206201828978863,0,18.671,39.589,M2
age,0.974,0.009147601744898417,-2.896213495578721,0.0038,0.956,0.991,M2
sexWoman,1.18,0.134987737469912,1.2284050333607202,0.2193,0.907,1.54,M2
srh,1.108,0.06855800130380607,1.4922136640493773,0.1356,0.969,1.268,M2
"intention_4cat2+ years, intends",2.107,0.19664328373617376,3.7900543927261827,2e-4,1.426,3.087,M3
intention_4cat1–2 years,4.582,0.16930606359656664,8.990037950846746,0,3.293,6.4,M3
intention_4cat< 1 year,28.061,0.19448794160778218,17.144494160837347,0,19.294,41.382,M3
age,0.973,0.009217604604289577,-3.01575591662078,0.0026,0.955,0.99,M3
sexWoman,1.185,0.13511116434671025,1.2581848683787906,0.2083,0.91,1.546,M3
srh,1.092,0.0694616106423186,1.2623556021285576,0.2068,0.953,1.251,M3
housing_suitability,1.171,0.12237136800568939,1.2906208938255213,0.1968,0.925,1.495,M3
"intention_4cat2+ years, intends",2.019,0.19698368911015898,3.5664677692357927,4e-4,1.365,2.96,M4
intention_4cat1–2 years,4.126,0.17198976332127044,8.24090853549654,0,2.949,5.792,M4
intention_4cat< 1 year,24.474,0.19691920461675075,16.238185408217543,0,16.741,36.251,M4
age,0.976,0.00920166459082806,-2.6821861158025873,0.0073,0.958,0.993,M4
sexWoman,1.148,0.13593592393479104,1.0172010445106325,0.3091,0.88,1.5,M4
srh,1.132,0.06961562045070911,1.7760285791665686,0.0757,0.988,1.298,M4
home_satisfaction,0.855,0.07792578952785949,-2.003917601540208,0.0451,0.735,0.997,M4
"intention_4cat2+ years, intends",2.068,0.19659473185632317,3.696161559963997,2e-4,1.4,3.03,M5
intention_4cat1–2 years,4.417,0.1688127338957495,8.7997367728084,0,3.178,6.164,M5
intention_4cat< 1 year,26.724,0.1937151354371558,16.960716179707102,0,18.399,39.343,M5
age,0.974,0.009228118126892665,-2.8243942546248224,0.0047,0.957,0.992,M5
sexWoman,1.175,0.13567226846707264,1.1866309696180743,0.2354,0.901,1.534,M5
srh,1.109,0.06868587248561803,1.5115954598147983,0.1306,0.97,1.27,M5
neighbourhood_cohesion,0.954,0.13437415362745786,-0.35316385956651924,0.724,0.733,1.241,M5
"intention_4cat2+ years, intends",2.047,0.1974876453755453,3.627498361337882,3e-4,1.383,3.004,M6
intention_4cat1–2 years,4.179,0.1728348555886872,8.274458178274399,0,2.982,5.876,M6
intention_4cat< 1 year,24.85,0.19878985160850307,16.162093265941017,0,16.938,36.949,M6
age,0.974,0.009317325921175403,-2.8255018372403624,0.0047,0.956,0.992,M6
sexWoman,1.135,0.1368111025490277,0.926983768556278,0.3539,0.869,1.486,M6
srh,1.112,0.07009276073036605,1.5165969900007519,0.1294,0.97,1.277,M6
housing_suitability,1.443,0.14381501621171566,2.551881867668884,0.0107,1.094,1.923,M6
home_satisfaction,0.763,0.09070337561193671,-2.9769863442252626,0.0029,0.639,0.912,M6
neighbourhood_cohesion,0.984,0.1375409254712673,-0.11789721915052122,0.9061,0.751,1.289,M6
