term,estimate,std.error,statistic,p.value,conf.low,conf.high,step
intention_timeframe_among_intenders1–2 years,1.871,0.19160815918015311,3.2698551656602,0.0011,1.291,2.74,B1
intention_timeframe_among_intenders< 1 year,12.471,0.21313932969333596,11.839076974881047,0,8.275,19.1,B1
intention_timeframe_among_intenders1–2 years,2.194,0.19837831721314442,3.9596421468805065,1e-4,1.494,3.256,B2
intention_timeframe_among_intenders< 1 year,13.566,0.21771303192435504,11.97701859762982,0,8.926,20.975,B2
age,0.968,0.010911707537503888,-2.999194929891603,0.0027,0.947,0.989,B2
sexWoman,1.246,0.1627321684632118,1.35121303709476,0.1766,0.907,1.717,B2
srh,1.092,0.08100605794990101,1.090267572589356,0.2756,0.932,1.281,B2
