term,estimate,std.error,statistic,p.value,conf.low,conf.high,model
"intention_4cat2+ years, intends",2.092,0.19315169040256533,3.8204393768511165,1e-4,1.426,3.044,M2
intention_4cat1–2 years,4.473,0.16644119147755568,9.000482485667346,0,3.233,6.212,M2
intention_4cat< 1 year,27.849,0.19023452991674605,17.487845728959332,0,19.302,40.715,M2
age,0.974,0.009065543383626043,-2.950964775311603,0.0032,0.956,0.991,M2
sexWoman,1.151,0.1337111920200446,1.0529635742326628,0.2924,0.886,1.498,M2
srh,1.114,0.06761118732876809,1.5998464001430612,0.1096,0.976,1.273,M2
