relocated_f,n,age_mean,age_sd,srh_mean,srh_sd,suitability_mean,suitability_sd,satisfaction_mean,satisfaction_sd,cohesion_mean,cohesion_sd
No,1554,69,7.7,3.48,0.99,4.73,0.52,4.65,0.71,2.2,0.5
Yes,404,67.6,7.4,3.52,1,4.67,0.58,4.26,1.05,2.09,0.5
