t3_participated,n,age_mean,age_sd,srh_mean,srh_sd,suitability_mean,suitability_sd,satisfaction_mean,satisfaction_sd,cohesion_mean,cohesion_sd
FALSE,662,68.7,8.2,3.4,1.03,4.68,0.58,4.53,0.87,2.14,0.52
TRUE,1296,68.8,7.4,3.53,0.97,4.74,0.51,4.59,0.77,2.19,0.49
